MB2025_V1_00,General_Electoral_Population,Māori_Electoral_Population
0120800,105,6
0120900,45,6
0121000,72,18
0121100,39,6
0121200,15,-999
0121300,36,6
0121400,30,6
0121500,51,-999
0121600,51,-999
0121700,45,9
0121800,105,18
0121900,36,6
0122000,69,-999
0122100,78,15
0122200,123,6
0122300,18,-999
0122400,102,6
0122500,51,-999
0122600,51,15
0122700,-999,-999
0122800,-999,-999
0122900,39,-999
0123000,60,12
0123100,18,6
0123200,54,30
0123300,48,39
0123400,12,-999
0123500,9,-999
0123600,36,6
0123700,30,9
0123801,6,6
0123802,18,-999
0123901,75,12
0123902,12,-999
0123903,12,-999
0123904,6,-999
0124000,15,12
0124100,24,-999
0124200,75,-999
0124300,90,21
0124400,75,6
0124500,60,9
0124600,108,15
0124700,81,33
0124800,42,12
0124900,99,21
0125000,18,-999
0125100,33,12
0125200,27,9
0125300,87,24
0125400,78,90
0125500,21,-999
0125600,105,27
0125700,96,-999
0125800,51,-999
0125900,57,9
0126000,48,9
